rank,freq,Infinitiv,Unreg,Trans,"Präsens_ich","Präsens_ich*","Präsens_du","Präsens_du*","Präsens_er, sie, es","Präteritum_ich","Präteritum_ich*","Partizip II","Partizip II*","Konjunktiv II_ich","Konjunktiv II_ich*","Imperativ Singular","Imperativ Singular*","Imperativ Singular 2","Imperativ Plural","Imperativ Plural*",Hilfsverb,Hilfsverb*,Bild,"Bild 1","Bild 2","Bild 3","Bild 4"
215,44547,verlieren,"","",verliere,"",verlierst,"",verliert,verlor,"",verloren,"","verlöre","",verliere,verlier,"",verliert,"",haben,"","","Blue(s) Cendrillon (14680240346).jpg|thumb|2|„Ups, da habe ich doch [[gerade]] [[mein]]en [[Schuh]] ''verloren.''“","Gambling games.jpg|thumb|3|Man kann im [[Spielkasino]] [[gegen]] die [[Bank]] [[nur]] ''verlieren''","",""
218,44101,schnellen,"","",schnelle,"",schnellst,"",schnellt,schnellte,"",geschnellt,"",schnellte,"",schnell,"","",schnellt,"",haben,"","","","","",""
223,43456,"scheißen","","","scheiße","","scheißt","","scheißt",schiss,"",geschissen,"",schisse,"","scheiß","","","scheißt","",haben,"","DefecatingSeagull2.jpg|240px|1|eine ''scheißende'' Möwe","","","",""
227,42371,suchen,"","",suche,"",suchst,"",sucht,suchte,"",gesucht,"",suchte,"",suche,such,"",sucht,"",haben,"","","","","",""
229,41498,"fühlen","","","fühle","","fühlst","","fühlt","fühlte","","gefühlt","","fühlte","","fühl","fühle","","fühlt","",haben,"","","","","",""
230,41468,holen,"","",hole,"",holst,"",holt,holte,"",geholt,"",holte,"",hole,hol,"",holt,"",haben,"","","","","",""
231,40933,treffen,"","",treffe,"",triffst,"",trifft,traf,"",getroffen,"","träfe","",triff,"","",trefft,"",haben,"","","","","",""
233,40506,schaffen,"","",schaffe,"",schaffst,"",schafft,schaffte,"",geschafft,"",schaffte,"",schaffe,schaff,"",schafft,"",haben,"","","","","",""
233,40506,schaffen,"","",schaffe,"",schaffst,"",schafft,schuf,"",geschaffen,"","schüfe","",schaffe,"","",schafft,"",haben,"","","","","",""
235,39891,liegen,"","",liege,"",liegst,"",liegt,lag,"",gelegen,"","läge","",lieg,liege,"",liegt,"",haben,sein,"","","","",""
242,37596,zeigen,"",X,zeige,"",zeigst,"",zeigt,zeigte,"",gezeigt,"",zeigte,"",zeige,zeig,"",zeigt,"",haben,"","Young Cossack Ivan Kudryavtsev.jpg|thumb|3|Ein [[klein]]er [[Junge]] ''zeigt'' auf etwas (und wir [[wissen]] nicht, worauf).","","","",""
244,37295,erinnern,"",X,erinnere,"",erinnerst,"",erinnert,erinnerte,"",erinnert,"",erinnerte,"",erinnere,"","",erinnert,"",haben,"","","","","",""
250,36112,danken,"","",danke,"",dankst,"",dankt,dankte,"",gedankt,"",dankte,"",dank,danke,"",dankt,"",haben,"","","","","",""
253,35185,stunden,"","",stunde,"",stundest,"",stundet,stundete,"",gestundet,"",stundete,"",stunde,"","",stundet,"",haben,"","","","","",""
254,35036,entschuldigen,"","",entschuldige,"",entschuldigst,"",entschuldigt,entschuldigte,"",entschuldigt,"",entschuldigte,"",entschuldige,"","",entschuldigt,"",haben,"","","","","",""
259,34498,schlafen,"","",schlafe,"","schläfst","","schläft",schlief,"",geschlafen,"",schliefe,"",schlaf,schlafe,"",schlaft,"",haben,"","","Anker Schlafender Knabe im Heu.jpg|thumb|1a|[[Gemälde]] von einem [[Junge]]n, der im Heu ''schläft.''","Sleeping wire-haired Dachshund.jpg|thumb|1a|Ein [[Rauhaardackel]] ''schläft'' in der [[Sonne]].","Lateral sex.jpg|thumb|3a|[[Mann]] und [[Frau]] ''schlafen'' [[miteinander]].",""
261,34229,fallen,"","",falle,"","fällst","","fällt",fiel,"",gefallen,"",fiele,"",falle,fall,"",fallt,"",sein,"","","","","",""
262,34218,verschwinden,"","",verschwinde,"",verschwindest,"",verschwindet,verschwand,"",verschwunden,"","verschwände","",verschwinde,"","",verschwindet,"",sein,"","","","","",""
263,34160,vergessen,"","",vergesse,"",vergisst,"",vergisst,"vergaß","",vergessen,"","vergäße","",vergiss,"","",vergesst,"",haben,"","","","","",""
266,33762,fertigen,"","",fertige,"",fertigst,"",fertigt,fertigte,"",gefertigt,"",fertigte,"",fertig,fertige,"",fertigt,"",haben,"","","","","",""
269,33522,nennen,"","",nenne,"",nennst,"",nennt,nannte,"",genannt,"",nennte,"",nenn,nenne,"",nennt,"",haben,"","","","","",""
276,32911,wahren,"","",wahre,"",wahrst,"",wahrt,wahrte,"",gewahrt,"",wahrte,"",wahre,"","",wahrt,"",haben,"","","","","",""
278,32609,lieben,"",X,liebe,"",liebst,"",liebt,liebte,"",geliebt,"",liebte,"",liebe,"","",liebt,"",haben,"","","","","",""
282,32482,stellen,"","",stelle,"",stellst,"",stellt,stellte,"",gestellt,"",stellte,"",stelle,"","",stellt,"",haben,"","","","","",""
286,31893,ziehen,"","",ziehe,"",ziehst,"",zieht,zog,"",gezogen,"","zöge","",ziehe,zieh,"",zieht,"",haben,sein,"","","","",""
287,31831,kriegen,"","",kriege,"",kriegst,"",kriegt,kriegte,"",gekriegt,"",kriegte,"",kriege,krieg,"",kriegt,"",haben,"","","","","",""
293,30237,"verrücken","","","verrücke","","verrückst","","verrückt","verrückte","","verrückt","","verrückte","","verrück","verrücke","","verrückt","",haben,"","","","","",""
294,30083,trinken,X,"",trinke,"",trinkst,"",trinkt,trank,"",getrunken,"","tränke","",trink,trinke,"",trinkt,"",haben,"","","Boy_drinks_from_a_tap_at_a_NEWAH_WASH_water_project_%2810677785345%29.jpg|mini|1| ein [[durstig]]er Junge [[schlürfen|schlürft]] aus der Hand und ''trinkt'' so das [[Wasser]]","Sipahh_-_girl.jpg|mini|1|durch [[Saugen]] am [[Strohhalm]] ''trinkt'' das Mädchen die [[Milch]] im [[Glas]]","Oktoberfest woman.jpg|thumb|1|eine [[Frau]] ''trinkt'' aus einem [[Bierglas]] / [2] ''trinkt'' [[Bier]] beim [[Oktoberfest]]",""
295,29811,hoffen,"","",hoffe,"",hoffst,"",hofft,hoffte,"",gehofft,"",hoffte,"",hoff,hoffe,"",hofft,"",haben,"","","","","",""
298,29407,schreiben,"","",schreibe,"",schreibst,"",schreibt,schrieb,"",geschrieben,"",schriebe,"",schreibe,schreib,"",schreibt,"",haben,"","","M. Klein's hands, writing. Wellcome L0018664.jpg|mini|1|etwas von [[Hand]] ''schreiben''","Backlit keyboard.jpg|mini|5|etwas auf einer [[Tastatur]] ''schreiben''","",""
305,28893,bereiten,"","",bereite,"",bereitest,"",bereitet,bereitete,"",bereitet,"",bereitete,"",bereite,"","",bereitet,"",haben,"","","","","",""
305,28893,bereiten,"","",bereite,"",bereitest,"",bereitet,beritt,"",beritten,"",beritte,"",bereit,bereite,"",bereitet,"",haben,"","","","","",""
309,28607,setzen,"","",setze,"",setzt,setzest,setzt,setzte,"",gesetzt,"",setzte,"",setze,setz,"",setzt,"",haben,"","","","","",""
310,28308,bedeuten,"","",bedeute,"",bedeutest,"",bedeutet,bedeutete,"",bedeutet,"",bedeutete,"",bedeute,"","",bedeutet,"",haben,"","","","","",""
313,28107,rufen,"","",rufe,"",rufst,"",ruft,rief,"",gerufen,"",riefe,"",rufe,ruf,"",ruft,"",haben,"","","","","",""
319,27633,lesen,"","",lese,"",liest,"",liest,las,"",gelesen,"","läse","",lies,"","",lest,"",haben,"","","","","",""
320,27615,lernen,"","",lerne,"",lernst,"",lernt,lernte,"",gelernt,"",lernte,"",lerne,"","",lernt,"",haben,"","A Family Place Library (14071427991).jpg|thumb|1|Hier ''lernen'' [[Kind]]er, wie eine [[Bücherei]] [[funktionieren|funktioniert]].","","","",""
322,27578,retten,"","",rette,"",rettest,"",rettet,rettete,"",gerettet,"",rettete,"",rette,"","",rettet,"",haben,"","","","","",""
323,27500,sorgen,"","",sorge,"",sorgst,"",sorgt,sorgte,"",gesorgt,"",sorgte,"",sorg,sorge,"",sorgt,"",haben,"","","","","",""
333,26605,sitzen,"","",sitze,"",sitzt,"",sitzt,"saß","",gesessen,"","säße","",sitz,"","",sitzt,"",haben,sein,"","RepinPaintersDaughter.jpg|thumb|1|auf einem [[Balken]] ''sitzendes'' [[Mädchen]]","Schneider Waldsee Kornhausmuseum.jpg|thumb|1|''Sitzen'' im Schneidersitz","Daniel_D._Pratt,_Brady-Handy_photo_portrait,_sitting.jpg|thumb|4, 1|schlecht ''sitzende'' Weste [[tragen|getragen]] von einem [[Mann]], der mit übereinander geschlagenen [[Bein]]en auf einem [[Stuhl]] ''sitzt''",""
335,26367,tragen,"","",trage,"","trägst","","trägt",trug,"",getragen,"","trüge","",trag,trage,"",tragt,"",haben,"","","","","",""
338,26222,scheinen,"","",scheine,"",scheinst,"",scheint,schien,"",geschienen,"",schiene,"",scheine,schein,"",scheint,scheinet,haben,"","","","","",""
341,26085,verlassen,"","",verlasse,"","verlässt","","verlässt","verließ","",verlassen,"","verließe","",verlasse,"","",verlasst,"",haben,"","","","","",""
347,25438,ruhen,"","",ruhe,"",ruhst,"",ruht,ruhte,"",geruht,"",ruhte,"",ruh,"","",ruht,"",haben,"","","","","",""
348,25371,"kümmern","","","kümmere","","kümmerst","","kümmert","kümmerte","","gekümmert","","kümmerte","","kümmere","","","kümmert","",haben,"","","","","",""
350,24963,versprechen,"",X,verspreche,"",versprichst,"",verspricht,versprach,"",versprochen,"","verspräche","",versprich,"","",versprecht,"",haben,"","","","","",""
354,24807,reichen,"","",reiche,"",reichst,"",reicht,reichte,"",gereicht,"",reichte,"",reiche,"","",reicht,"",haben,"","Berlin marathon kilometer 34 Tauentzien 25.09.2011 11-31-07.jpg|thumb|1|Beim [[Marathon]] ''reichen'' [[Helfer]] den [[Läufer]]n [[Wasser]].","","","",""
356,24521,anrufen,"","","rufe an","","rufst an","","ruft an","rief an","",angerufen,"","riefe an","","ruf an","","","ruft an","",haben,"","","","","",""
360,24252,bestimmen,"","",bestimme,"",bestimmst,"",bestimmt,bestimmte,"",bestimmt,"",bestimmte,"",bestimme,"","",bestimmt,"",haben,"","","","","",""
366,23724,langen,"","",lange,"",langst,"",langt,langte,"",gelangt,"",langte,"",lange,lang,"",langt,"",haben,"","","","","",""
367,23694,umbringen,"","","bringe um","","bringst um","","bringt um","brachte um","",umgebracht,"","brächte um","","bring um","","","bringt um","",haben,"","","","","",""
369,23432,tollen,"","",tolle,"",tollst,"",tollt,tollte,"",getollt,"",tollte,"",toll,tolle,"",tollt,"",haben,sein,"","","","",""
