ich,10094674
der,5674177
sein,3796784
sich,3022857
du,1890181
nicht,1734016
mein,1620166
haben,1618550
und,1441012
einen,1379496
was,1072372
werden,948246
zu,918548
in,793011
können,713918
mit,641744
ja,635186
wie,585413
auf,567544
meinen,556692
dass,555016
aber,523716
wollen,513384
so,508157
gut,501216
hier,483819
für,461926
von,457616
wenn,438665
kein,419570
dies,407548
gehen,407185
habe,406611
nein,404910
an,399003
sagen,388020
sehen,384113
ein,380672
machen,376830
noch,358787
da,356437
nur,352269
tun,330438
kommen,317788
geben,280421
auch,277547
schon,276809
als,275361
jetzt,274768
mal,271291
aus,269701
um,268714
dann,264865
einer,264799
alle,263093
im,251908
doch,233508
weiß,225172
wissen,217839
oder,214775
nach,207669
s,194794
nichts,193569
sollen,189101
man,188465
wo,186838
etwas,181934
muss,181625
denken,181538
viel,180879
all,178751
oh,178134
mehr,177486
also,174799
bei,170877
wer,167286
immer,167261
bitte,166140
warum,164397
hab,159993
hören,158838
vor,155796
los,154848
wieder,151814
finden,143704
sehr,141979
mann,141770
glauben,141488
okay,140795
denn,139250
zum,138734
leben,138619
mögen,136863
danke,136305
komm,132064
vielleicht,129986
nehmen,125268
müssen,124528
über,124513
ander,123713
ganz,122735
wirklich,119786
lieb,118169
soll,117929
lassen,117720
einfach,117005
nie,116256
weg,114064
hey,113841
am,107925
warten,106835
jed,101641
zeit,101264
nun,101033
verstehen,100896
weil,99547
bringen,97391
heute,96550
weit,94040
jemand,93662
damit,93171
frau,93136
sichern,91927
fragen,89964
kennen,89813
bis,89123
zurück,88227
helfen,87425
reden,87137
leid,86310
schön,86294
groß,86036
stehen,85406
bleiben,83919
na,83059
gott,82959
brauchen,82184
hallo,80393
zwei,79810
genau,76563
lass,76422
sprechen,76116
zur,74317
passieren,73100
vater,71313
morgen,71059
lang,70970
klaren,69754
leute,69590
dürfen,69100
halten,67816
ok,67244
ab,67201
tag,67125
erst,66847
gerade,66550
geld,63441
durch,63104
töten,63086
mach,61553
raus,61515
sterben,60962
ob,60877
mutter,59618
klein,59556
paar,59449
richtig,59418
sir,59288
fahren,59107
wohl,58838
bekommen,58826
musst,58313
alt,57587
selbst,57130
her,56834
hör,56715
sag,56175
arbeiten,55922
ohne,55901
nacht,55724
tot,55697
wieso,53445
dort,52783
natürlich,52608
spät,52296
verdammen,52188
versuchen,52157
niemand,51485
ordnung,51411
recht,50934
erzählen,50675
ins,50433
beid,50238
essen,49877
gar,49767
geh,49662
vom,49150
gleichen,49016
seit,48455
welch,48388
ach,48226
mädchen,48201
davon,47864
laufen,46564
dafür,46366
wegen,46246
hause,46066
hin,45955
heißen,45882
spielen,45657
drei,45414
stimmen,45252
abend,44677
freund,44650
verlieren,44547
haus,44446
menschen,44405
schnellen,44101
rein,43840
neu,43627
musik,43625
angst,43498
scheißen,43456
unter,42869
welt,42718
zusammen,42573
suchen,42371
herr,41547
fühlen,41498
holen,41468
treffen,40933
ganze,40821
schaffen,40506
kinder,40333
liegen,39891
genug,39653
junge,38692
gegen,38488
moment,38244
wenig,37925
einmal,37707
zeigen,37596
sonst,37532
erinnern,37295
arbeit,36985
dabei,36612
nächst,36511
sofort,36240
jahre,36182
danken,36112
halt,35953
bevor,35329
stunden,35185
entschuldigen,35036
einzig,35022
schlecht,34963
letzt,34962
sohn,34555
schlafen,34498
familie,34293
fallen,34229
verschwinden,34218
vergessen,34160
echt,34069
sache,33886
fertigen,33762
problem,33643
allein,33525
nennen,33522
wann,33476
brauche,33451
bruder,33252
hilfe,33245
hoch,33217
kind,33079
wahren,32911
darüber,32828
lieben,32609
beim,32569
ne,32531
seinen,32530
stellen,32482
früh,32469
jahren,32283
daran,31908
ziehen,31893
kriegen,31831
dazu,31717
eigentlich,31147
wusste,30820
fall,30735
jung,30496
verrücken,30237
trinken,30083
hoffen,29811
gern,29788
stadt,29590
schreiben,29407
sage,29204
kopf,29159
wichtig,29156
männer,29061
egal,28936
letzte,28922
bereiten,28893
namen,28879
kleine,28720
falsch,28702
setzen,28607
bedeuten,28308
n,28273
uhr,28149
rufen,28107
ende,28065
schwer,28005
baby,27935
glück,27747
schlimm,27663
lesen,27633
lernen,27615
dinge,27590
retten,27578
sorgen,27500
freunde,27436
bisschen,27343
darauf,27177
nett,27092
bald,27064
minuten,26971
kurz,26947
eins,26732
augen,26715
sitzen,26605
runter,26479
tragen,26367
jungs,26356
voll,26253
scheinen,26222
ruhig,26203
polizei,26127
verlassen,26085
auto,26062
